method,dataset,mia_auroc,retained_f1,probe_acc,n_rounds,comm_bytes,unlearn_time_s,time_rel_to_retrain_pct,comm_rel_to_retrain_pct
baseline,pneumonia,0.4996973801769606,0.8422542930215564,0.9239130616188049,40,820800.0,1.3154051303863525,109.06944180583844,125.0
retrain,pneumonia,0.5115716056143182,0.839473131963184,0.929347813129425,40,656640.0,1.2060253620147705,100.0,100.0
finetune,pneumonia,0.4928235870536357,0.8484156416027104,0.929347813129425,8,131328.0,0.30737733840942383,25.486805509290715,20.0
head_only_kaf,pneumonia,0.47620831772199324,0.8511484642057889,0.8804348111152649,11,180576.0,0.16268396377563477,13.489265557720694,27.500000000000004
baseline,path,0.7213170259812052,0.2330426069216054,0.9733333587646484,40,3693600.0,4.4219443798065186,134.06657406494475,125.0
retrain,path,0.6683734107241571,0.23977361655817228,0.9549999833106995,40,2954880.0,3.2983198165893555,100.0,100.0
finetune,path,0.6645626036484246,0.23635318351554963,0.9566666483879089,8,590976.0,0.7236945629119873,21.941309610792302,20.0
head_only_kaf,path,0.6052929795467109,0.2380377235334115,0.8533333539962769,11,812592.0,0.3725442886352539,11.294971662890024,27.500000000000004
